ReservoirName,EffectiveCapacity,CatchmentAreaRainfall,InflowVolume,OutflowTotal,RecordTime,WaterLevel,EffectiveWaterStorageCapacity,WaterStorageRate,Application,Area,Location,Type
太湖水庫,148.1,0.0,0.0,0.4,2021-12-01,14.28,12.01,8.11,,,,
田埔水庫,48.6,0.0,0.0,0.0,2021-12-01,5.28,30.9,63.58,,,,
陽明湖水庫,27.6,0.0,0.0,0.0,2021-12-01,27.08,1.41,5.11,,,,
山西蓄水塘,19.0,0.0,0.0,0.0,2021-12-01,17.65,0.0,,,,,
榮湖水庫,36.0,0.0,0.0,0.0,2021-12-01,2.71,24.31,67.53,,,,
擎天水庫,23.6,0.0,0.0,0.0,2021-12-01,27.94,14.29,60.55,,,,
金沙水庫,43.5,0.0,0.0,0.13,2021-12-01,2.66,28.86,66.34,,,,
蓮湖水庫,5.1,0.0,0.0,0.0,2021-12-01,4.5,0.35,6.86,,,,
菱湖水庫,8.2,0.0,0.0,0.0,2021-12-01,8.99,1.14,13.9,,,,
西湖水庫,41.4,0.0,0.0,0.14,2021-12-01,1.16,10.37,25.05,,,,
金湖水庫,38.1,0.0,0.0,0.0,2021-12-01,2.21,33.19,87.11,,,,
瓊林水庫,29.3,0.0,0.0,0.0,2021-12-01,13.06,7.18,24.51,,,,
蘭湖,17.6,0.0,0.0,0.0,2021-12-01,2.1,5.48,31.14,,,,
勝利水庫,18.18,0.0,0.0,0.0,2021-12-01,3.52,0.0,,,,,
邱桂山水庫,3.15,0.0,0.0,0.0,2021-12-01,6.9,0.65,20.55,,,,
珠螺水壩,0.38,0.0,0.0,0.0,2021-12-01,3.05,0.05,13.13,,,,
儲水沃上壩,2.32,0.0,0.0,0.0,2021-12-01,6.68,1.2,51.64,,,,
儲水沃水庫,4.18,0.0,0.01,0.0,2021-12-01,16.98,2.62,62.62,,,,
津沙水庫,4.58,0.0,0.0,0.0,2021-12-01,11.93,1.05,22.86,,,,
津沙1號壩,1.26,0.0,0.0,0.0,2021-12-01,7.51,0.31,24.51,,,,
坂里水庫,14.11,0.0,0.0,0.05,2021-12-01,15.09,7.43,52.68,,,,
東湧水庫,8.5,0.0,0.01,0.0,2021-12-01,18.27,7.98,93.78,,,,
后沃水庫,41.63,0.0,0.0,0.14,2021-12-01,10.54,20.18,48.49,,,,
